participant,speed,node,Fx1,Fy1,Fx2,Fy2,speed1,speed2,duration
P1,1.0,91,-0.024848691881500677,0.2780241520909954,36.19043542989221,648.9650938702786,0.999193845151619,1.000723845902496,1.226
P1,1.0,92,-0.10938628562182781,0.19943250817345526,40.30618485267044,656.9459423179954,0.9991928702662058,1.0008857097865935,1.226
P1,1.0,93,0.0,0.0,44.41062329395966,664.9248024044302,0.9992714290197255,1.0009360639665512,1.226
P1,1.0,94,0.0,0.0,48.69192378002473,672.580953741325,0.9993171374911792,1.0011186131760197,1.226
P1,1.0,95,0.0,0.0,53.41919871013724,679.3825832552144,0.9996377944285438,1.0011149711057399,1.226
P1,1.0,96,0.0,0.0,58.893263545520576,684.7830544853484,0.9996977841044286,1.0011128300396717,1.226
P1,1.0,97,0.0,0.0,65.32764378990132,688.1134219590243,0.9995794070085752,1.0011780401886683,1.226
P1,1.0,98,0.0,0.0,72.80620661644096,688.4147856795505,0.9996137514404149,1.001185109299308,1.226
P1,1.0,99,6.7755673969144645,10.833482739118475,81.20768104703666,684.6259279574858,0.9995966642495789,1.001829434879977,1.226
P1,1.2,0,7.115828587425272,10.91585457091423,102.82305235176443,693.6638390447168,1.1992475128473925,1.201514656324722,1.156
P1,1.2,1,10.254311864789539,43.56379958350983,112.62363058240742,681.8362635967968,1.199205208310806,1.2021795076136383,1.156
P1,1.2,2,9.7079521755386,96.73766771044143,122.27042456525511,661.7360753082647,1.1994695242641757,1.2031488011021307,1.156
P1,1.2,3,0.026598803071970382,166.8167127202218,130.86155187494,631.683673674024,1.1994585097991783,1.2042725408540147,1.156
P1,1.2,4,-20.55888176028477,246.3935479714629,137.07348683481618,590.1401124973851,1.1991342914103518,1.2054982743805174,1.156
P1,1.2,5,-47.63186768287298,328.9582895136032,139.99899256211998,536.5888965152627,1.1989533715683718,1.2061498574732012,1.156
P1,1.2,6,-75.08270091533517,410.6261285985052,137.94245879172036,471.8494398417055,1.19702385859609,1.2062447668250331,1.156
P1,1.2,7,-99.47818429674172,487.5195251460771,129.94309123012067,398.0682657647411,1.189409560583909,1.206790427626789,1.156
P1,1.2,8,-118.57655936836314,554.9695647775783,115.87995702525328,318.8986902414519,1.1767422079333105,1.2076655654514086,1.156
P1,1.2,9,-131.32313312498255,609.3746641694611,95.9978117203511,239.25086619668548,1.167876069578493,1.2079970896535368,1.156
P1,1.2,10,-137.764264300058,649.4461159223225,72.32101239660909,164.54741879709957,1.1679394007843027,1.2073569125251673,1.156
P1,1.2,11,-138.62528380527115,676.7601661390636,48.173446715789304,100.34280852228777,1.1749481356654512,1.2057237359240272,1.156
P1,1.2,12,-135.04710761402768,694.4004765263845,26.949399469049315,51.243230026740854,1.1833737423963264,1.202935946684987,1.156
P1,1.2,13,-127.99479294123765,704.5974699466142,11.33794964895828,18.967187072174568,1.1901268162350438,1.199570465976749,1.156
P1,1.2,14,-118.75032749701136,708.3365472375929,2.224168904698269,1.6696912267530102,1.1951460235358995,1.1961825885032251,1.156
P1,1.2,15,-108.42052679452122,706.6636403230402,0.0,0.0,1.198563919241959,1.1930757101494693,1.156
